C00001,Un-defined command.,Contact your system manager.
C00002,Command execution is impossible.,Contact your system manager.
C00003,Hardware is not present.,Replace the card reader module.
C00004,Command data error.,Contact your system manager.
C00006,ICRW dose not have keys that dechiper the data.,Contact your system manager.
C00007,"Incomplete at intake ^and/or withdraw(except error ""08"" and ""09"")",Retry read card.
C00008,Timeout at intake completed reading^ at least one magnetic data.,Retry read card.
C00009,Timeout at intake and/or withdraw.,Retry read card.
C00010,Latch operation error.,Reboot system.^ If error occurs again^ then replace the CardReader.
C00020,Card has not been read yet or other errors.,Contact your system manager.
C00021,No Start sentinel.,Contact your system manager.
C00022,VRC error.,Contact your system manager.
C00023,No End sentinel. Too many data,Contact your system manager.
C00024,LRC error.,Contact your system manager.
C00025,No mag.stripe or No encoded card.,Contact your system manager.
C00026,Unknown Error.,Contact your system manager.
C00027,SS-ES-LRC card.,Contact your system manager.
C00030,Detection of Power failure.,Contact your system manager.
C00060,Abnormal condition was found on the ^power-line(Vcc) of ICC(or SAM).,Reboot system.^ If error occurs again^ then replace the CardReader.
C00061,The receiving error of ATR.,Contact your system manager.
C00062,The specified protocol does not agree ^with that of IC Card.,Reboot system.^ If error occurs again^ then replace the CardReader.
C00063,IC card(SAM) communication error^(IC card does not respond),Contact your system manager.
C00064,"IC card(SAM) communication error^(Other than ""63"")",Contact your system manager.
C00065,HOST send command for IC card ^communication before receiving ATR.,Contact your system manager.
C00066,Tried to communicate with IC card ^not supported in ICRW.,Contact your system manager.
C00069,IC card(SAM) returned ATR which does not match EMV2000 ver4.0,Contact your system manager.
C00070,F-ROM write error,Reboot system.^ If error occurs again^ then replace the CardReader.
C00071,CRC error of User program code area,Contact your system manager.
C00072,EEPROM operation error,Reboot system.^ If error occurs again^ then replace the CardReader.
C00074,RAM Error.,Contact your system manager.
C00081,Communication connection is failed.,If error occurs again after reset then ^contact your system manager.
C00082,Cancel command session error,If error occurs again after reset then ^contact your system manager.
C00083,Send command error,If error occurs again after reset then ^contact your system manager.
C00084,Receive reply error,If error occurs again after reset then ^contact your system manager.
C00085,Command canceled,If error occurs again after reset then ^contact your system manager.
C00086,Reply timeout,If error occurs again after reset then ^contact your system manager.
C0000B,Authentication fail,AP reboot.
C000FF,Unknown Error.,If error occurs again after reset then ^contact your system manager.
D10001,Illigal command parameter,If error occurs again after reset ^then contact your system manager.
D10002,Illigal command,If error occurs again after reset ^then contact your system manager.
D10003,CBX1 size parameter error,If error occurs again after reset ^then contact your system manager.
D10004,CBX2 size parameter error,If error occurs again after reset ^then contact your system manager.
D10005,CBX3 size parameter error,If error occurs again after reset ^then contact your system manager.
D10006,CBX4 size parameter error,If error occurs again after reset ^then contact your system manager.
D10007,CBX1 thickness parameter error,If error occurs again after reset ^then contact your system manager.
D10008,CBX2 thickness parameter error,If error occurs again after reset ^then contact your system manager.
D10009,CBX3 thickness parameter error,If error occurs again after reset ^then contact your system manager.
D1000A,CBX4 thickness parameter error,If error occurs again after reset ^then contact your system manager.
D1000B,Authentication fail,1. Initialize authentication. ^2. AP reboot.
D10010,CBX1 check right sensor error,If error occurs again after reset ^then contact your system manager.
D10011,CBX2 check right sensor error,If error occurs again after reset ^then contact your system manager.
D10012,CBX3 check right sensor error,If error occurs again after reset ^then contact your system manager.
D10013,CBX4 check right sensor error,If error occurs again after reset ^then contact your system manager.
D10014,CBX1 check left sensor error,If error occurs again after reset ^then contact your system manager.
D10015,CBX2 Ccheck left sensor error,If error occurs again after reset ^then contact your system manager.
D10016,CBX3 check left sensor error,If error occurs again after reset ^then contact your system manager.
D10017,CBX4 check left sensor error,If error occurs again after reset ^then contact your system manager.
D10018,CBX1 middle sensor error,If error occurs again after reset ^then contact your system manager.
D10019,CBX2 middle sensor error,If error occurs again after reset ^then contact your system manager.
D1001A,CBX3 middle sensor error,If error occurs again after reset ^then contact your system manager.
D1001B,CBX4 middle sensor error,If error occurs again after reset ^then contact your system manager.
D1001C,THICK_REF sensor error,If error occurs again after reset ^then contact your system manager.
D1001D,Exit sensor error,If error occurs again after reset ^then contact your system manager.
D1001E,Thickness sensor error,If error occurs again after reset ^then contact your system manager.
D10021,CBX1 check sensor time over,If error occurs again after reset ^then contact your system manager.
D10022,CBX2 check sensor time over,If error occurs again after reset ^then contact your system manager.
D10023,CBX3 check sensor time over,If error occurs again after reset ^then contact your system manager.
D10024,CBX4 Ccheck sensor time over,If error occurs again after reset ^then contact your system manager.
D10031,CBX1 pickup fail,Check that cassette box is empty ^or there is wrong cash in it. ^If there is no problem ^then contact your system manager.
D10032,CBX2 pickup fail,Check that cassette box is empty ^or there is wrong cash in it. ^If there is no problem ^then contact your system manager.
D10033,CBX3 pickup fail,Check that cassette box is empty ^or there is wrong cash in it. ^If there is no problem ^then contact your system manager.
D10034,CBX4 pickup fail,Check that cassette box is empty ^or there is wrong cash in it. ^If there is no problem ^then contact your system manager.
D10035,CBX1 check to middle time out,Check that cassette box is empty ^or there is wrong cash in it. ^If there is no problem ^then contact your system manager.
D10036,CBX2 check to middle time out,Check that cassette box is empty ^or there is wrong cash in it. ^If there is no problem ^then contact your system manager.
D10037,CBX3 check to middle time out,Check that cassette box is empty ^or there is wrong cash in it. ^If there is no problem ^then contact your system manager.
D10038,CBX4 Ccheck to middle time out,Check that cassette box is empty ^or there is wrong cash in it. ^If there is no problem ^then contact your system manager.
D10039,Middle to middle time out,Pull out Dispenser and ^then remove bill.
D1003A,Middle to THICK_REF time out,Pull out Dispenser and ^then remove bill.
D1003B,THICK_REF to exit time out,Pull out Dispenser and ^then remove bill.
D1003C,Exit time out,Pull out Dispenser and ^then remove bill.
D10040,Reject box no exist,Check that Reject box is present. ^If error occurs again ^then contact your system manager.
D10041,CBX1 no exist,Check that cassette box #1 is present. ^If error occurs again ^then contact your system manager.
D10042,CBX2 no exist,Check that cassette box #2 is present. ^If error occurs again ^then contact your system manager.
D10043,CBX3 no exist,Check that cassette box #3 is present. ^If error occurs again ^then contact your system manager.
D10044,no exist,Check that cassette box #4 is present. ^If error occurs again ^then contact your system manager.
D10045,CBX1 ID no match,Check that cassette box #1 is present. ^If error occurs again ^then contact your system manager.
D10046,CBX2 ID no match,Check that cassette box #2 is present. ^If error occurs again ^then contact your system manager.
D10047,CBX3 ID no match,Check that cassette box #3 is present. ^If error occurs again ^then contact your system manager.
D10048,CBX4 ID no match,Check that cassette box #4 is present. ^If error occurs again ^then contact your system manager.
D10049,CBX1 empty,Add cash to cassette box #1 ^after CASSETTE CLOSE and ^then perform ADD QTY IN CASSETTE.
D1004A,CBX2 empty,Add cash to cassette box #2 ^after CASSETTE CLOSE and ^then perform ADD QTY IN CASSETTE.
D1004B,CBX3 empty,Add cash to cassette box #3 ^after CASSETTE CLOSE and ^then perform ADD QTY IN CASSETTE.
D1004C,CBX4 empty,Add cash to cassette box #4 ^after CASSETTE CLOSE and ^then perform ADD QTY IN CASSETTE.
D10050,Dispense stop error,Check that cassette box is empty ^or there is wrong cash in it. ^If there is no problem ^then contact your system manager.
D10051,Max reject error,Check that reject box is full. ^If there is no problem ^then contact your system manager.
D10052,Bill count error,If error occurs again after reset ^then contact your system manager.
D10053,Exit bill detect error,If error occurs again after reset ^then contact your system manager.
D10054,Dispense time out,If error occurs again after reset ^then contact your system manager.
D10060,Motor fault error,If error occurs again after reset ^then contact your system manager.
D10061,Motor encoder error,If error occurs again after reset ^then contact your system manager.
D10062,Diverter on fail,If error occurs again after reset ^then contact your system manager.
D10063,Diverter off fail,If error occurs again after reset ^then contact your system manager.
D10064,CBX1 pickup SOL ON fail,If error occurs again after reset ^then contact your system manager.
D10065,CBX2 pickup SOL ON fail,If error occurs again after reset ^then contact your system manager.
D10066,CBX3 pickup SOL ON fail,If error occurs again after reset ^then contact your system manager.
D10067,CBX4 pickup SOL ON fail,If error occurs again after reset ^then contact your system manager.
D10068,CBX1 pickup SOL OFF fail,If error occurs again after reset ^then contact your system manager.
D10069,CBX2 pickup SOL OFF fail,If error occurs again after reset ^then contact your system manager.
D1006A,CBX3 pickup SOL OFF fail,If error occurs again after reset ^then contact your system manager.
D1006B,CBX4 pickup SOL OFF fail,If error occurs again after reset ^then contact your system manager.
D1006C,Motor current over,If error occurs again after reset ^then contact your system manager.
D10070,FW boot start,If error occurs again after reset ^then contact your system manager.
D10071,Download header error,If error occurs again after reset ^then contact your system manager.
D10072,Download checksum error,If error occurs again after reset ^then contact your system manager.
D100F0,Communication error,Check data cable connection. ^If error occurs again ^then contact your system manager.
D100F1,Send/Recv command mismatch error,If error occurs again after reset ^then contact your system manager.
D100F2,Dispense count error,If error occurs again after reset ^then contact your system manager.
D100F3,Firmware download fail,AP reboot.
D100M0,Insufficient amount in dipenser,Add cash to cassette ^after CASSETTE CLOSE and ^then perform ADD QTY IN CASSETTE.
D100M1,Mix Result is not equal with request amount.,Contact your system manager.
D100M2,Requested note count is over(50).,Contact your system manager.
P00001,Head up,Pull down head pinch lever
P00002,Near end,Replace paper roll
P00003,Paper empty,Load paper on printer
P00004,Abnormal printer,Remove paper and check printer
P00005,Cutter error,If error occurs again after reset ^then contact your system manager.
P00006,Communication connection is failed.,If error occurs again after reset then ^contact your system manager.
P00007,Status response error,If error occurs again after reset then ^contact your system manager.
E10001,MAC error,If error occurs again ^then contact your system manager.
E10002,Specified key can't be used,If error occurs again ^then contact your system manager.
E10003,Parameter error in command,If error occurs again ^then contact your system manager.
E10004,Specified key does not exist,If error occurs again ^then contact your system manager.
E10005,MAC length illegal,If error occurs again ^then contact your system manager.
E10006,Redundancy field less than 4,If error occurs again ^then contact your system manager.
E10007,Password error,If error occurs again ^then contact your system manager.
E10008,Routed command was not ACK'ed,If error occurs again ^then contact your system manager.
E10009,MPA can't be accessed ( missing rights ),If error occurs again ^then contact your system manager.
E1000A,Command or option received ^in an unexpected at this time,If error occurs again ^then contact your system manager.
E1000B,CFS variable does not exist,If error occurs again ^then contact your system manager.
E1000C,MPA variable does not exist,If error occurs again ^then contact your system manager.
E1000D,Decryption did not fit the redundancy,If error occurs again ^then contact your system manager.
E1000E,Block error in decryption data,If error occurs again ^then contact your system manager.
E1000F,MPA checksum error ^NOT in the certificate group^(substitutes error code CERT_RAM_ERR),If error occurs again ^then contact your system manager.
E10010,The command is unknown,If error occurs again ^then contact your system manager.
E10011,Keyload command illegal in this statea,If error occurs again ^then contact your system manager.
E10012,Selftest failed,If error occurs again ^then contact your system manager.
E10013,PIN length less than 4,If error occurs again ^then contact your system manager.
E10016,MPA variable has different size,If error occurs again ^then contact your system manager.
E10017,Verification failed,If error occurs again ^then contact your system manager.
E10018,All no of retries are used the ^process is terminated!,If error occurs again ^then contact your system manager.
E10019,The preprocessor constant ^MPA_VAR_SIZE_MAX is too small!,If error occurs again ^then contact your system manager.
